date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:23	86523/86523	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2007:31:06%20GMT	https://html.kodesolution.com/2025/digiplus-html/	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/index.html	(from )
20:56:23	633/633	---MCZ	200	added ('OK')	text/plain	date:Sat,%2027%20Dec%202025%2017:56:25%20GMT	https://html.kodesolution.com/robots.txt		(from )
20:56:23	231866/231866	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Nov%202025%2007:27:09%20GMT	https://html.kodesolution.com/2025/digiplus-html/css/bootstrap.min.css	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:24	586344/586344	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Nov%202025%2007:31:06%20GMT	https://html.kodesolution.com/2025/digiplus-html/css/style.css	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/css/style.css	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:24	60/60	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Nov%202025%2006:06:27%20GMT	https://html.kodesolution.com/2025/digiplus-html/css/style-home-1.css	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/css/style-home-1.css	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:24	250/250	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Nov%202025%2007:48:37%20GMT	https://html.kodesolution.com/2025/digiplus-html/images/favicon.png	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/images/favicon.png	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:25	86523/86523	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2007:31:06%20GMT	https://html.kodesolution.com/2025/digiplus-html/index.html	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/index-2.html	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:25	2699/2699	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Nov%202025%2007:48:37%20GMT	https://html.kodesolution.com/2025/digiplus-html/images/logo-4.png	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/images/logo-4.png	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:26	86577/86577	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2007:31:06%20GMT	https://html.kodesolution.com/2025/digiplus-html/index-2.html	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/index-3.html	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:27	35893/35893	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Nov%202025%2012:05:33%20GMT	https://html.kodesolution.com/2025/digiplus-html/page-about.html	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/page-about.html	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:28	26382/26382	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Nov%202025%2012:05:33%20GMT	https://html.kodesolution.com/2025/digiplus-html/page-team.html	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/page-team.html	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:29	23240/23240	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2008:35:31%20GMT	https://html.kodesolution.com/2025/digiplus-html/page-team-details.html	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/page-team-details.html	(from https://html.kodesolution.com/2025/digiplus-html/)
20:56:30	21438/21438	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Nov%202025%2012:05:33%20GMT	https://html.kodesolution.com/2025/digiplus-html/page-pricing.html	C:/My%20Web%20Sites/Anasi%20Marketing/html.kodesolution.com/2025/digiplus-html/page-pricing.html	(from https://html.kodesolution.com/2025/digiplus-html/)
